Scenario number, Iteration number, Agent number, # of targets collected, # of steps, Agent happiness, Max happiness, Min happiness, Average happiness, Standard deviation of happiness, Agent competitivness
1,1,1,4,753,0.0053050397878,0.00663129973475,0.00397877984085,0.00503978779841,0.000992482065457,0.5
1,1,2,3,753,0.00397877984085,0.00663129973475,0.00397877984085,0.00503978779841,0.000992482065457,0.0
1,1,3,4,753,0.0053050397878,0.00663129973475,0.00397877984085,0.00503978779841,0.000992482065457,0.5
1,1,4,3,753,0.00397877984085,0.00663129973475,0.00397877984085,0.00503978779841,0.000992482065457,0.0
1,1,5,5,753,0.00663129973475,0.00663129973475,0.00397877984085,0.00503978779841,0.000992482065457,1.0
1,2,1,5,636,0.00784929356358,0.00784929356358,0.00156985871272,0.00533751962323,0.0021294599633,1.0
1,2,2,1,636,0.00156985871272,0.00784929356358,0.00156985871272,0.00533751962323,0.0021294599633,0.0
1,2,3,3,636,0.00470957613815,0.00784929356358,0.00156985871272,0.00533751962323,0.0021294599633,0.5
1,2,4,4,636,0.00627943485086,0.00784929356358,0.00156985871272,0.00533751962323,0.0021294599633,0.75
1,2,5,4,636,0.00627943485086,0.00784929356358,0.00156985871272,0.00533751962323,0.0021294599633,0.75
1,3,1,5,626,0.00797448165869,0.00797448165869,0.00159489633174,0.00446570972887,0.00211586908476,1.0
1,3,2,1,626,0.00159489633174,0.00797448165869,0.00159489633174,0.00446570972887,0.00211586908476,0.0
1,3,3,3,626,0.00478468899522,0.00797448165869,0.00159489633174,0.00446570972887,0.00211586908476,0.5
1,3,4,3,626,0.00478468899522,0.00797448165869,0.00159489633174,0.00446570972887,0.00211586908476,0.5
1,3,5,2,626,0.00318979266348,0.00797448165869,0.00159489633174,0.00446570972887,0.00211586908476,0.25
1,4,1,5,725,0.0068870523416,0.0068870523416,0.00137741046832,0.00495867768595,0.00186841046367,1.0
1,4,2,1,725,0.00137741046832,0.0068870523416,0.00137741046832,0.00495867768595,0.00186841046367,0.0
1,4,3,4,725,0.00550964187328,0.0068870523416,0.00137741046832,0.00495867768595,0.00186841046367,0.75
1,4,4,4,725,0.00550964187328,0.0068870523416,0.00137741046832,0.00495867768595,0.00186841046367,0.75
1,4,5,4,725,0.00550964187328,0.0068870523416,0.00137741046832,0.00495867768595,0.00186841046367,0.75
1,5,1,4,785,0.00508905852417,0.00636132315522,0.00381679389313,0.00483460559796,0.000952075670935,0.5
1,5,2,4,785,0.00508905852417,0.00636132315522,0.00381679389313,0.00483460559796,0.000952075670935,0.5
1,5,3,3,785,0.00381679389313,0.00636132315522,0.00381679389313,0.00483460559796,0.000952075670935,0.0
1,5,4,5,785,0.00636132315522,0.00636132315522,0.00381679389313,0.00483460559796,0.000952075670935,1.0
1,5,5,3,785,0.00381679389313,0.00636132315522,0.00381679389313,0.00483460559796,0.000952075670935,0.0
1,6,1,4,488,0.0081799591002,0.0102459016393,0.00204498977505,0.00654815783298,0.00271867823316,0.748083801737
1,6,2,3,488,0.00613496932515,0.0102459016393,0.00204498977505,0.00654815783298,0.00271867823316,0.498722534492
1,6,3,1,488,0.00204498977505,0.0102459016393,0.00204498977505,0.00654815783298,0.00271867823316,0.0
1,6,4,3,488,0.00613496932515,0.0102459016393,0.00204498977505,0.00654815783298,0.00271867823316,0.498722534492
1,6,5,5,487,0.0102459016393,0.0102459016393,0.00204498977505,0.00654815783298,0.00271867823316,1.0
1,7,1,5,748,0.00667556742323,0.00667556742323,0.00400534045394,0.00480640854473,0.00106809078772,1.0
1,7,2,3,748,0.00400534045394,0.00667556742323,0.00400534045394,0.00480640854473,0.00106809078772,0.0
1,7,3,3,748,0.00400534045394,0.00667556742323,0.00400534045394,0.00480640854473,0.00106809078772,0.0
1,7,4,4,748,0.00534045393858,0.00667556742323,0.00400534045394,0.00480640854473,0.00106809078772,0.5
1,7,5,3,748,0.00400534045394,0.00667556742323,0.00400534045394,0.00480640854473,0.00106809078772,0.0
1,8,1,4,843,0.00473933649289,0.00592417061611,0.00473933649289,0.00497630331754,0.000473933649289,0.0
1,8,2,4,843,0.00473933649289,0.00592417061611,0.00473933649289,0.00497630331754,0.000473933649289,0.0
1,8,3,4,843,0.00473933649289,0.00592417061611,0.00473933649289,0.00497630331754,0.000473933649289,0.0
1,8,4,4,843,0.00473933649289,0.00592417061611,0.00473933649289,0.00497630331754,0.000473933649289,0.0
1,8,5,5,843,0.00592417061611,0.00592417061611,0.00473933649289,0.00497630331754,0.000473933649289,1.0
1,9,1,3,634,0.00472440944882,0.00787401574803,0.00314960629921,0.00503937007874,0.00154298566475,0.333333333333
1,9,2,3,634,0.00472440944882,0.00787401574803,0.00314960629921,0.00503937007874,0.00154298566475,0.333333333333
1,9,3,5,634,0.00787401574803,0.00787401574803,0.00314960629921,0.00503937007874,0.00154298566475,1.0
1,9,4,3,634,0.00472440944882,0.00787401574803,0.00314960629921,0.00503937007874,0.00154298566475,0.333333333333
1,9,5,2,634,0.00314960629921,0.00787401574803,0.00314960629921,0.00503937007874,0.00154298566475,0.0
1,10,1,4,545,0.00732600732601,0.00915750915751,0.0018315018315,0.00549584971603,0.00258918544275,0.75
1,10,2,3,545,0.00549450549451,0.00915750915751,0.0018315018315,0.00549584971603,0.00258918544275,0.5
1,10,3,2,544,0.00366972477064,0.00915750915751,0.0018315018315,0.00549584971603,0.00258918544275,0.250917431193
1,10,4,5,545,0.00915750915751,0.00915750915751,0.0018315018315,0.00549584971603,0.00258918544275,1.0
1,10,5,1,545,0.0018315018315,0.00915750915751,0.0018315018315,0.00549584971603,0.00258918544275,0.0
2,1,1,5,913,0.0054704595186,0.0054704595186,0.0054704595186,0.0054704595186,0.0,0
2,1,2,5,913,0.0054704595186,0.0054704595186,0.0054704595186,0.0054704595186,0.0,0
2,1,3,5,913,0.0054704595186,0.0054704595186,0.0054704595186,0.0054704595186,0.0,0
2,1,4,5,913,0.0054704595186,0.0054704595186,0.0054704595186,0.0054704595186,0.0,0
2,1,5,5,913,0.0054704595186,0.0054704595186,0.0054704595186,0.0054704595186,0.0,0
2,2,1,5,1133,0.00440917107584,0.00440917107584,0.00439753737907,0.0044021867614,3.80038700278e-06,0
2,2,2,5,1135,0.0044014084507,0.00440917107584,0.00439753737907,0.0044021867614,3.80038700278e-06,0
2,2,3,5,1136,0.00439753737907,0.00440917107584,0.00439753737907,0.0044021867614,3.80038700278e-06,0
2,2,4,5,1135,0.0044014084507,0.00440917107584,0.00439753737907,0.0044021867614,3.80038700278e-06,0
2,2,5,5,1135,0.0044014084507,0.00440917107584,0.00439753737907,0.0044021867614,3.80038700278e-06,0
2,3,1,5,894,0.00558659217877,0.00558659217877,0.00557413600892,0.00557911569646,4.65993008702e-06,0
2,3,2,5,895,0.00558035714286,0.00558659217877,0.00557413600892,0.00557911569646,4.65993008702e-06,0
2,3,3,5,896,0.00557413600892,0.00558659217877,0.00557413600892,0.00557911569646,4.65993008702e-06,0
2,3,4,5,895,0.00558035714286,0.00558659217877,0.00557413600892,0.00557911569646,4.65993008702e-06,0
2,3,5,5,896,0.00557413600892,0.00558659217877,0.00557413600892,0.00557911569646,4.65993008702e-06,0
2,4,1,5,1195,0.00418060200669,0.00418760469012,0.00418060200669,0.00418270222572,2.8007806019e-06,0
2,4,2,5,1194,0.00418410041841,0.00418760469012,0.00418060200669,0.00418270222572,2.8007806019e-06,0
2,4,3,5,1195,0.00418060200669,0.00418760469012,0.00418060200669,0.00418270222572,2.8007806019e-06,0
2,4,4,5,1193,0.00418760469012,0.00418760469012,0.00418060200669,0.00418270222572,2.8007806019e-06,0
2,4,5,5,1195,0.00418060200669,0.00418760469012,0.00418060200669,0.00418270222572,2.8007806019e-06,0
2,5,1,5,2351,0.00212585034014,0.00212585034014,0.00212134068731,0.00212332370894,1.55179360746e-06,0
2,5,2,5,2354,0.00212314225053,0.00212585034014,0.00212134068731,0.00212332370894,1.55179360746e-06,0
2,5,3,5,2356,0.00212134068731,0.00212585034014,0.00212134068731,0.00212332370894,1.55179360746e-06,0
2,5,4,5,2355,0.00212224108659,0.00212585034014,0.00212134068731,0.00212332370894,1.55179360746e-06,0
2,5,5,5,2353,0.00212404418012,0.00212585034014,0.00212134068731,0.00212332370894,1.55179360746e-06,0
2,6,1,5,963,0.0051867219917,0.00519750519751,0.0051867219917,0.00518887863286,4.31328232158e-06,0
2,6,2,5,963,0.0051867219917,0.00519750519751,0.0051867219917,0.00518887863286,4.31328232158e-06,0
2,6,3,5,961,0.00519750519751,0.00519750519751,0.0051867219917,0.00518887863286,4.31328232158e-06,0
2,6,4,5,963,0.0051867219917,0.00519750519751,0.0051867219917,0.00518887863286,4.31328232158e-06,0
2,6,5,5,963,0.0051867219917,0.00519750519751,0.0051867219917,0.00518887863286,4.31328232158e-06,0
2,7,1,5,1002,0.0049850448654,0.00499001996008,0.00498007968127,0.00498306077386,3.97561645784e-06,0
2,7,2,5,1001,0.00499001996008,0.00499001996008,0.00498007968127,0.00498306077386,3.97561645784e-06,0
2,7,3,5,1003,0.00498007968127,0.00499001996008,0.00498007968127,0.00498306077386,3.97561645784e-06,0
